Country Code,Pollutant,Min,Max,Median,Mittelwert,Standardabweichung
ES,PM1,1.0,7.138888875643413,3.569444457689921,3.8194444477558136,3.2811109874648614
ES,PM10,0.0,153.0,12.0,15.412055754252112,13.421270066129454
ES,PM2.5,0.0,37.0,6.0,7.214929766451771,5.691016123453328
ES,RELATIVEHUMIDITY,50.57458305358887,50.57458305358887,50.57458305358887,50.57458305358887,
ES,SO2,-1.0,239.0,3.0,3.780226086956522,10.530517164918464
ES,TEMPERATURE,26.836249987284344,26.836249987284344,26.836249987284344,26.836249987284344,
ES,UM003,1296.0902709960938,1296.0902709960938,1296.0902709960938,1296.0902709960938,
ET,PM2.5,17.0,31.0,17.0,21.666666666666668,8.082903768654761
FI,NO2,-1.0,48.4,9.0141055,10.260672122727273,9.731262070894287
FI,O3,-1.0,90.2523592,47.98122,45.50502265714286,21.09946208907504
FI,PM10,-1.0,11.5594183,4.267456,4.371799269038461,2.7774283959012385
FI,PM2.5,-1.0,6.5554129,2.467727,2.6712340025,2.043092174592673
FI,SO2,-1.0,2.6190079,0.897738,1.0808556571428571,0.8662526869032987
FR,CO,-183.0,860.0,208.0,252.75,201.54150483394656
FR,NO,-1.5,291.8,5.2,16.65577777777778,28.265920282094378
FR,NO2,-1.0,427.8,17.7,23.089072333333334,24.587683017566373
FR,O3,-1.0,141.1,38.5,38.168344491525424,25.920065992957856
FR,PM1,0.0,14.145833412806192,6.716333270072937,6.954055560959709,7.075912284038318
FR,PM10,-1.0,93.2,12.0,14.48207941252578,11.050389454775509
FR,PM2.5,0.0,104.2,7.5,8.877016724257759,7.706170070353808
FR,RELATIVEHUMIDITY,36.5541664759318,63.62270832061768,50.08843739827474,50.08843739827474,19.140349495209204
FR,SO2,-2.3,25.2,0.9,1.698787878787879,2.823536268297039
FR,TEMPERATURE,12.70883305867513,17.26949405670166,14.989163557688396,14.989163557688396,3.224874318397567
FR,UM003,1270.234385172526,2569.517862955729,1919.8761240641275,1919.8761240641275,918.7321578241439
GA,PM2.5,17.0,17.0,17.0,17.0,
GB,CO,-100.0,221.198,104.778,97.14485714285715,101.20111272680185
GB,NO2,-2.8,84.0,13.96125,18.864074950166113,15.769092603987259
GB,O3,-1.0,89.6,56.67788,52.268261557377045,19.894799449143356
GB,PM1,10.717261950174969,21.433829307556152,17.29613109778923,16.48661203334901,4.145652152406866
GB,PM10,-0.5,44.34374968210856,11.3,12.952030557499619,8.187580655977754
GB,PM2.5,-4.0,32.883708477020264,7.0,7.443872561572865,5.033018407729984
GB,RELATIVEHUMIDITY,48.65371958414713,60.53831831614176,54.923720359802246,54.49367891947428,4.4849911305514745
GB,SO2,-1.0,10.0,1.06436,1.5297677142857145,1.7846579346904117
GB,TEMPERATURE,8.939136823018393,20.799702485402424,17.34166705608368,15.470208750168482,5.079874162493303
GB,UM003,1918.095235188802,3916.2127850850425,2868.501505533854,2824.7096061706543,801.0287082675854
GH,PM1,3.363789677619934,23.67559544245402,10.3988889058431,12.479424675305685,10.314496360612901
GH,PM10,5.526051680246989,45.13095219930013,16.677618980407715,22.44487428665161,20.422609079316306
GH,PM2.5,-999.0,44.339567011052914,21.776369194189705,-227.77692365014192,514.4352989345975
GH,RELATIVEHUMIDITY,47.39349206288656,63.95293140411377,55.67321173350017,55.67321173350017,11.709291850829054
GH,TEMPERATURE,27.28846724828084,32.24242067337036,32.052553697065875,30.527813872905693,2.8069622874246236
GH,UM003,1355.1740112304688,5096.602701822917,3225.888356526693,3225.888356526693,2645.5895984438253
GI,CO,470.0,470.0,470.0,470.0,
GI,NO2,16.0,50.5,33.25,33.25,24.39518395093589
GI,PM10,10.5,10.5,10.5,10.5,
GI,PM2.5,5.5,5.5,5.5,5.5,
GI,SO2,0.7,0.7,0.7,0.7,
GN,PM2.5,-999.0,-999.0,-999.0,-999.0,
GR,CO,100.0,3000.0,1000.0,1060.8695652173913,561.4422421802155
GR,NO,1.0,62.0,4.5,13.733333333333333,18.56569571740484
GR,NO2,-1.0,68.0,26.0,27.17948717948718,20.06420194600559
GR,O3,1.0,68.0,7.0,21.40625,22.12699325812618
GR,PM10,8.0,77.0,27.0,30.942857142857143,17.86047699966219
GR,PM2.5,7.0,39.0,13.0,17.42105263157895,10.547858073633739
GR,SO2,2.0,106.0,8.0,17.0,29.81107176872378
GT,O3,0.012,0.034,0.012,0.019333333333333334,0.012701705922171767
GT,PM10,37.0,37.0,37.0,37.0,
GT,PM2.5,8.0,12.0,12.0,10.666666666666666,2.3094010767585034
HK,CO,403.6,846.1,654.55,645.5875,156.97520675480663
HK,NO2,13.2,78.8,27.1,32.45,20.415407077838204
HK,O3,39.9,102.2,85.5,81.48571428571428,19.921494272918736
HK,PM10,11.0,36.6,17.05,17.978571428571428,6.58882253650699
HK,PM2.5,4.2,21.5,9.35,10.221428571428572,4.123512052650222
HK,SO2,0.4,6.1,1.65,2.492857142857143,1.8461870418260966
HR,CO,199.5,1603.7,498.7,564.5666666666667,392.42126560237494
HR,NO,0.0,67.6,11.9,21.3,26.703258228163843
HR,NO2,0.9,85.1,19.950000000000003,25.23888888888889,22.432988809521227
HR,O3,-1.0,-1.0,-1.0,-1.0,0.0
HR,PM1,1.2,48.1,7.25,14.883333333333335,17.995490175782006
HR,PM10,4.0,66.1,18.8,23.099999999999998,18.84288843156602
